asset_id,display_name,codes_and_names,inn,sponsor,sponsor_hq_city,sponsor_confidence,verification_tier,target,mechanism,modality,ot_mechanism_of_action,ot_drug_type,chembl_ids,indications_researched,conditions_in_trials,highest_phase,highest_phase_researched,highest_phase_in_ctgov,development_status,ex_china_rights,partner,latest_data,first_in_class_note,n_trials_ctgov,n_trials_recruiting_or_active,trial_statuses,earliest_nct,latest_nct,nct_ids,sources,notes
TG103,TG103,TG103,,,,low,prior_knowledge,GLP-1R (likely),GLP-1-based agent for obesity/T2D (exact mechanism/modality not confidently recalled),unknown,,,,obesity|type 2 diabetes mellitus|overweight,obesity | overweight | type 2 diabetes mellitus | type 2 diabetes,phase 3,phase 3,phase 3,unclear,unknown,,,,11,0,"{""COMPLETED"": 7, ""UNKNOWN"": 4}",NCT03990090,NCT06258148,NCT03990090|NCT04790006|NCT04839744|NCT04855292|NCT05063253|NCT05299697|NCT05348122|NCT05997576|NCT06226090|NCT06235086|NCT06258148,,"Sponsor not confidently recognized from training data (CSV seed 'Tasly/Suzhou Kanghe' itself flagged as unverified). Sample title explicitly mentions 'Chinese Healthy Adult Subjects', giving reasonable confidence the sponsor/trial base is Chinese even without a confirmed company name. Needs live verification for exact sponsor identity and modality."
ZG122,ZG122,MG-ZG122|ZG122,,,,low,web_verified,,humanized monoclonal antibody for asthma (target not identified),monoclonal antibody,,,,asthma,asthma,phase 2,phase 2,phase 2,active,unknown,,,,2,1,"{""UNKNOWN"": 1, ""ACTIVE_NOT_RECRUITING"": 1}",NCT05659927,NCT07054034,NCT05659927|NCT07054034,https://clinicaltrials.gov/study/NCT05659927|https://clinicaltrials.gov/study/NCT07054034,"OFFLINE: no live web verification in this session (WebSearch budget exhausted, WebFetch/egress blocked); classification from input trial records + model knowledge (cutoff mid-2026). Sponsor NOT identifiable offline. Evidence for a China-based developer: single-center Phase I in 'Chinese Healthy Adult Subjects' (NCT05659927) and a 2025 Phase II asthma trial of 'MG-ZG122 Humanized Monoclonal Antibody Injection' (NCT07054034) with Chinese-registrant phrasing. The 'MG-' prefix suggests Shanghai Mabgeek Biotech rather than Suzhou Zelgen (seed) - unverified; ZG122 is not a known Zelgen code. Likely a T2-asthma cytokine target (TSLP/IL-4R/IL-5 class) - unverified. Needs a live check of NCT05659927 sponsor."
SG001,enlonstobart,SG001|enlonstobart,enlonstobart,,,low,prior_knowledge,PD-1,anti-PD-1 monoclonal antibody,monoclonal antibody,,Antibody,CHEMBL5315040,solid tumors|colorectal cancer|non-small cell lung cancer|epithelial ovarian cancer,colorectal cancer | solid tumors | cervical cancer | head and neck squamous cell carcinoma | gastric cancer | non-small cell lung cancer | malignant mesothelioma | uterine cervical cancer,phase 3,phase 3,phase 3,active,unknown,,,,21,14,"{""UNKNOWN"": 6, ""TERMINATED"": 1, ""NOT_YET_RECRUITING"": 13, ""RECRUITING"": 1}",NCT03852823,NCT07591831,NCT03852823|NCT04886700|NCT04983550|NCT05009953|NCT05068141|NCT05508659|NCT05715840|NCT06089330|NCT06132217|NCT06136988|NCT06682611|NCT06989671|NCT06998771|NCT07251062|NCT07254585|NCT07282509|NCT07288814|NCT07332533|NCT07448077|NCT07585279|NCT07591831,,"Exact sponsor entity not confidently recognized from training data (CSV seed 'Sumgen/Shanghai Sun-Sail' itself flagged 'verify'); however trial titles/combinations exclusively involve Chinese co-development partners (e.g. SYS6002, JMT101), giving reasonable circumstantial confidence the sponsor is Chinese even without a confirmed company name. Needs live verification for exact sponsor identity. Same molecule as the 'enlonstobart' row elsewhere in this batch. || Same asset as 'SG001' row elsewhere in this batch (INN vs code). Exact sponsor entity not confidently recognized (CSV seed 'Sumgen/Shanghai Sun-Sail' flagged as unverified); trial combination partners (SYS6002, JMT101) are Chinese biotechs, supporting a CN classification even without a confirmed sponsor name."
SSGJ-612,SSGJ-612,SSGJ-612,,3SBio,Shenyang,high,prior_knowledge,,,unknown,,,,advanced solid tumors,solid tumor,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07032298,NCT07032298,NCT07032298,,SSGJ- prefix used by 3SBio's Sunshine Guojian biologics subsidiary; specific target/modality not recalled.
SSGJ-613,SSGJ-613,SSGJ-613,,3SBio,Shenyang,high,prior_knowledge,,,monoclonal antibody,,,,,,phase 1,unknown,phase 1,active,,,,,1,0,"{""UNKNOWN"": 1}",NCT05966701,NCT05966701,NCT05966701,,'SSGJ' is 3SBio's Shenyang Sunshine Guojian subsidiary code prefix; specific target of SSGJ-613 not confidently recalled.
SSGJ-626,SSGJ-626,SSGJ-626,,3SBio,Shenyang,high,prior_knowledge,BDCA2,anti-BDCA2 antibody targeting plasmacytoid dendritic cells,monoclonal antibody,,,,systemic lupus erythematosus,systemic lupus erythematosus,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,2,2,"{""RECRUITING"": 2}",NCT06674525,NCT07185269,NCT06674525|NCT07185269,,SSGJ prefix used by 3SBio's Sunshine Guojian subsidiary; raw name explicitly states 'anti-BDCA2 antibody SSGJ-626' (litifilimab-class approach) for lupus.
SSGJ-627,SSGJ-627,SSGJ-627,,3SBio,Shenyang,high,prior_knowledge,,,unknown,,,,ulcerative colitis,ulcerative colitis,phase 2,phase 2,phase 2,active,unknown,,,,2,2,"{""NOT_YET_RECRUITING"": 2}",NCT07065136,NCT07507513,NCT07065136|NCT07507513,,"SSGJ-prefixed 3SBio/Sunshine Guojian asset, same code family as SSGJ-626; specific target for ulcerative colitis not confidently recalled (possibly an anti-integrin or IL-23 biologic)."
SSGJ-705,SSGJ-705,705|SSGJ-705,,3SBio,Shenyang / Shanghai,high,web_verified,HER2,HER2-targeting biologic for HER2-expressing tumors (construct - bispecific vs ADC - not verified),unknown,,,,HER2-expressing advanced solid tumors|gastric cancer|lung cancer|breast cancer,solid tumor | malignant tumor | gastric cancer | lung cancer | breast cancer,phase 2,phase 2,phase 2,active,retained,,,,3,2,"{""UNKNOWN"": 1, ""RECRUITING"": 2}",NCT05145179,NCT07022002,NCT05145179|NCT06390774|NCT07022002,https://clinicaltrials.gov/study/NCT05145179|https://clinicaltrials.gov/study/NCT07022002,"SSGJ prefix = Sunshine Guojian (3SBio subsidiary). web search budget exhausted mid-batch; profile from prior knowledge, not re-verified"
SSGJ-706,SSGJ-706,SSGJ-706,,3SBio,"Shenyang, Liaoning",high,prior_knowledge,,,bispecific/multispecific antibody,,,,solid tumors | non-small cell lung cancer | gastric/esophageal cancer | colorectal cancer,solid tumors | non-small cell lung cancer | oesophageal cancer | gastro-oesophageal junction adenocarcinoma | gastric adenocarcinoma | colorectal cancer | pancreatic ductal adenocarcinoma,phase 2,phase 2,phase 2,active,unknown,,,,3,2,"{""UNKNOWN"": 1, ""RECRUITING"": 1, ""NOT_YET_RECRUITING"": 1}",NCT06533605,NCT07233850,NCT06533605|NCT07171606|NCT07233850,,"SSGJ-prefix is 3SBio's compound code series (same family as SSGJ-707, a PD-1/VEGF bispecific licensed to Pfizer). Specific target of SSGJ-706 not confidently recalled."
SSGJ-707,SSGJ-707,707|PF-08634404|SSGJ-707,,3SBio,Shenyang,high,web_verified,PD-1 x VEGF,anti-PD-1/VEGF bispecific antibody (ivonescimab-class),bispecific/multispecific antibody,,,,non-small cell lung cancer (1L PD-L1+ monotherapy; 1L combination with chemotherapy)|colorectal cancer|endometrial cancer|ovarian cancer|other solid tumors,non-small cell lung cancer | squamous non-small cell lung cancer | non-squamous non-small cell lung cancer | colorectal cancer | endometrial cancer | ovarian cancer,phase 3,phase 3,phase 3,active,licensed-out,Pfizer,"ASCO 2025: Phase II China data in 1L PD-L1-positive advanced NSCLC showed monotherapy ORR of roughly 70% with high DCR, and ORR of roughly 55-60% in combination with chemotherapy; PFS immature. Phase III vs pembrolizumab in 1L PD-L1+ NSCLC started in China in 2025.","Second major PD-1xVEGF bispecific after ivonescimab; subject of Pfizer's ~$1.25B-upfront licensing deal (May 2025), one of the largest China out-licensing deals",5,4,"{""UNKNOWN"": 1, ""RECRUITING"": 4}",NCT06361927,NCT06980272,NCT06361927|NCT06412471|NCT06493760|NCT06522828|NCT06980272,https://clinicaltrials.gov/study/NCT06361927|https://clinicaltrials.gov/study/NCT06980272|https://www.3sbio.com|https://www.pfizer.com,"May 2025 Pfizer license: $1.25B upfront, up to ~$4.8B milestones plus $100M equity for ex-China rights; Pfizer reportedly also exercised an option for China rights later in 2025. R&D entity is Sunshine Guojian (Shanghai). Numeric data are from recollection. [web verification unavailable: session search budget exhausted; classified from prior knowledge]"
SSGJ-709,SSGJ-709,SSGJ-709,,3SBio,Shenyang,high,prior_knowledge,,,unknown,,,,advanced malignant tumors,malignant tumor,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07016490,NCT07016490,NCT07016490,,SSGJ- prefix is used by 3SBio's Shenyang Sunshine Guojian biologics subsidiary. Specific molecule/target for SSGJ-709 not recalled.
SSS06,SSS06,SSS06,,3SBio,"Shenyang, Liaoning",high,prior_knowledge,,,unknown,,,,chemotherapy-induced anemia (non-myeloid malignancies),anemia,phase 2/3,phase 2/3,phase 2,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT06854276,NCT06854276,NCT06854276,,"3SBio (Shenyang) has a legacy erythropoiesis franchise (EPIAO); SSS06 mechanism not confidently recalled - could be a long-acting EPO analog or biosimilar, unconfirmed."
SSS17,SSS17,SSS17,,3SBio,Shenyang,medium,prior_knowledge,,possibly an oral HIF-prolyl hydroxylase inhibitor for renal anemia (low-confidence guess based on indication),small molecule,,,,anemia,anemia,phase 2,phase 2,phase 2,unclear,unknown,,,,6,2,"{""UNKNOWN"": 2, ""NOT_YET_RECRUITING"": 2, ""COMPLETED"": 2}",NCT04317833,NCT07025915,NCT04317833|NCT04893187|NCT07007936|NCT07014631|NCT07024888|NCT07025915,,"Mechanism/modality uncertain; flagged as a low-confidence inference from the anemia indication, not firm recall."
SSS39,SSS39,SSS39,,3SBio,Shenyang,medium,prior_knowledge,,,unknown,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""ENROLLING_BY_INVITATION"": 1}",NCT07057726,NCT07057726,NCT07057726,,SSS- prefix pattern consistent with 3SBio/Sunshine Guojian's compound coding; specific molecule not recalled.
SSS40,SSS40,SSS40,,3SBio,Shenyang,medium,prior_knowledge,,,unknown,,,,,,phase 1,unknown,phase 1,active,,,,,1,0,"{""UNKNOWN"": 1}",NCT06022536,NCT06022536,NCT06022536,,
SSS55,SSS55,SSS55,,3SBio,Shenyang,medium,prior_knowledge,,,unknown,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07058779,NCT07058779,NCT07058779,,SSS- prefix pattern consistent with 3SBio/Sunshine Guojian's compound coding; specific molecule not recalled.
SSS59,SSS59,SSS59,,3SBio,"Shenyang, Liaoning",high,prior_knowledge,,,unknown,,,,advanced malignant tumor,advanced malignant tumor,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT06944444,NCT06944444,NCT06944444,,Specifics not confidently recalled.
SSS67,SSS67,SSS67,,3SBio,Shenyang,low,prior_knowledge,,,unknown,,,,,,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT07487545,NCT07487545,NCT07487545,,"3SBio's biologics subsidiary Sunshine Guojian typically uses an 'SSGJ-' code prefix rather than 'SSS', so this attribution is uncertain; flagging for verification."
SSS68,SSS68,SSS68,,3SBio,Shenyang,medium,prior_knowledge,,,unknown,,,,,,phase 1,phase 1,phase 1,active,,,,,1,1,"{""NOT_YET_RECRUITING"": 1}",NCT07606976,NCT07606976,NCT07606976,,SSS-prefix used by 3SBio's Sunshine Guojian biologics unit (whose SSGJ-707 PD-1xVEGF bispecific was licensed to Pfizer in 2025 for roughly $6B). No specific recall of SSS68's target.
ac0010ma,abivertinib, STI-5656|AC0010|AC0010 |STI-5656|abivertinib|abivertinib maleate|ac0010ma|avitinib maleate,abivertinib,ACEA Therapeutics,"Hangzhou (R&D) / La Jolla, CA (corporate)",medium,prior_knowledge,EGFR (T790M-selective),third-generation irreversible EGFR tyrosine kinase inhibitor,small molecule,Epidermal growth factor receptor erbB1 inhibitor [Epidermal growth factor receptor] | Tyrosine-protein kinase BTK inhibitor [Tyrosine-protein kinase BTK],Small molecule,CHEMBL4297865|CHEMBL4297866,EGFR-mutant non-small cell lung cancer|COVID-19 (repurposed),non-small cell lung cancer | non-small-cell lung cancer | epidermal growth factor receptor mutation | COVID-19 pneumonia | COVID-19 | prostate cancer,phase 3,phase 3,phase 3,unclear,partnered,Sorrento Therapeutics (studied as STI-5656 for COVID-19),,,6,0,"{""TERMINATED"": 1, ""UNKNOWN"": 2, ""COMPLETED"": 2, ""SUSPENDED"": 1}",NCT02448251,NCT05361915,NCT02448251|NCT03574402|NCT03856697|NCT04440007|NCT04528667|NCT05361915,,"ACEA Therapeutics (China-founded, dual China/US) originated abivertinib as a 3rd-gen EGFR TKI for NSCLC. The COVID-19 trial used code STI-5656, indicating Sorrento Therapeutics licensed/co-developed it for that indication in the US. Sponsor of the prostate cancer 'Maverick' trial not confidently recalled (possibly CASI Pharmaceuticals or another partner). || ACEA Therapeutics has dual US (La Jolla)/China (Hangzhou) presence; most abivertinib clinical development was China-based NSCLC trials, so classified CN with medium confidence. Also studied by Sorrento Therapeutics as STI-5656 for COVID-19. Post-2021 development status unclear to me. || ACEA Therapeutics is a cross-border company (US-incorporated, San Diego) but with primary clinical development and trials based in China (china_title_hits=1); classified CN reflecting the China-centered development. || Company is US-incorporated (San Diego) but Chinese-founded/led with clinical development concentrated in China; classifying CN per 'Chinese-founded, R&D primarily in China' criterion, though genuine ambiguity exists given US incorporation. Not to be confused with ACEA Biosciences (flow cytometry, acquired by Agilent)."
AC0010,abivertinib,AC0010,abivertinib,ACEA Therapeutics (ACEA Biosciences),"San Diego, CA / Hangzhou or Shanghai, China (dual HQ)",medium,prior_knowledge,EGFR (T790M) / BTK,third-generation EGFR-TKI with additional BTK activity,small molecule,Epidermal growth factor receptor erbB1 inhibitor [Epidermal growth factor receptor] | Tyrosine-protein kinase BTK inhibitor [Tyrosine-protein kinase BTK],Small molecule,CHEMBL4297865,non-small cell lung cancer (EGFR T790M-positive) | B-cell malignancies,non-small cell lung cancer | epidermal growth factor receptor T790M mutation | chronic lymphocytic leukemia | small lymphocytic lymphoma | mantle cell lymphoma | non-Hodgkin B-cell lymphoma | diffuse large B-cell lymphoma,phase 3,phase 3,phase 3,active,,,,,7,0,"{""UNKNOWN"": 4, ""COMPLETED"": 2, ""WITHDRAWN"": 1}",NCT02274337,NCT03300115,NCT02274337|NCT02330367|NCT03001609|NCT03053219|NCT03058094|NCT03060850|NCT03300115,,"ACEA Therapeutics is generally regarded as a Chinese-founded, dual US/China biotech with most clinical development for abivertinib conducted in China; classified CN with medium confidence given the dual-HQ structure."
ABSK043,ABSK043,ABSK043,,Abbisko Therapeutics,Shanghai,high,prior_knowledge,FGFR (likely FGFR2/3; medium confidence),"FGFR inhibitor, studied alone and combined with Abbisko's CSF1R inhibitor (pimicotinib/ABSK021 or ABSK061)",small molecule,,,,solid tumors | non-small cell lung cancer | hepatocellular carcinoma | angiogenic sarcomas,solid tumor | non-small cell lung cancer | hepatocellular carcinoma | angiogenic sarcomas,phase 2,phase 2,phase 2,active,unknown,,,,6,5,"{""UNKNOWN"": 1, ""RECRUITING"": 4, ""NOT_YET_RECRUITING"": 1}",NCT04964375,NCT07164170,NCT04964375|NCT06632262|NCT06668103|NCT06978933|NCT07014137|NCT07164170,,Target inferred from combination-trial context referencing FGFR2/3-altered tumors; not firmly recalled.
ABSK061,ABSK061,ABSK-061|ABSK061,,Abbisko Therapeutics,Shanghai,high,web_verified,FGFR2/FGFR3,selective FGFR2/3 inhibitor,small molecule,,,,FGFR2/3-altered solid tumors (incl. urothelial)|achondroplasia (pediatric),solid tumor | achondroplasia,phase 2,phase 2,phase 2,active,retained,,"Phase 2 ABSK061 + ABSK043 (oral PD-L1 inhibitor) +/- chemo in FGFR2/3-altered solid tumors (NCT06632262, start Nov 2024); pediatric Phase 1/2 in achondroplasia (NCT07297875) planned Dec 2025; mini-tablet PK study in healthy adults 2025.",,4,4,"{""RECRUITING"": 3, ""NOT_YET_RECRUITING"": 1}",NCT05244551,NCT07297875,NCT05244551|NCT06632262|NCT07007546|NCT07297875,https://clinicaltrials.gov/study/NCT05244551|https://clinicaltrials.gov/study/NCT06632262|https://clinicaltrials.gov/study/NCT07297875|https://www.abbisko.com,Offline verification only.
ABSK112,ABSK112,ABSK112,,Abbisko Therapeutics,Shanghai,high,prior_knowledge,,,small molecule,,,,non-small cell lung cancer,non-small cell lung cancer,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT06225804,NCT06225804,NCT06225804,,"Abbisko is a Shanghai-based oncology biotech best known for pimicotinib (CSF-1R inhibitor, approved 2025 in China for TGCT); ABSK112's specific target not confidently recalled."
ABSK121,ABSK121,ABSK121,,Abbisko Therapeutics,Shanghai,high,prior_knowledge,,,small molecule,,,,solid tumors,solid tumors,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""ACTIVE_NOT_RECRUITING"": 1}",NCT05627063,NCT05627063,NCT05627063,,"ABSK-prefixed = Abbisko (also makers of pimicotinib/ABSK021, a CSF1R inhibitor, and fexagratinib/ABSK091, an FGFR inhibitor). ABSK121's specific target not confidently recalled."
ABSK131,ABSK131,ABSK131,,Abbisko Therapeutics,Shanghai,high,prior_knowledge,possibly PRMT5 (MTA-cooperative),MTAP-deficient patient selection is the well-known enrichment biomarker for MTA-cooperative PRMT5 inhibitors (a hot 2023-2025 drug class); plausible but not directly recalled for this specific molecule,small molecule,,,,solid tumors (MTAP-deficient),solid tumors,phase 1,phase 1,phase 1,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07288957,NCT07288957,NCT07288957,,"Abbisko (Shanghai) known for ABSK112 (EGFR exon20, licensed to Eli Lilly), ABSK021 (CSF-1R), ABSK061 (FGFR4); ABSK131's PRMT5 assignment is an indication-based inference, medium confidence."
ABSK141,ABSK141,ABSK141,,Abbisko Therapeutics,Shanghai,high,prior_knowledge,KRAS G12D,KRAS G12D mutant-selective inhibitor (inferred from trial title),small molecule,,,,KRAS G12D-mutant advanced solid tumors,solid tumor,phase 1/2,phase 1/2,phase 1/2,active,unknown,,,,1,1,"{""RECRUITING"": 1}",NCT07417189,NCT07417189,NCT07417189,,Abbisko's other known codes include ABSK021 (CSF-1R) and pimicotinib-related programs; ABSK141 target inferred from trial title (KRAS G12D).
ABSK091,fexagratinib,ABSK091|fexagratinib,fexagratinib,Abbisko Therapeutics,Shanghai,high,prior_knowledge,FGFR1/2/3,pan-FGFR tyrosine kinase inhibitor,small molecule,Fibroblast growth factor receptor inhibitor [Fibroblast growth factor receptor],Small molecule,CHEMBL3348846,tenosynovial giant cell tumor / solid tumors (per OT); this trial is a healthy-subject food-effect BA study,solid tumor | multiple myeloma | lymphoma,phase 2,phase 2,phase 2,active,unknown,,,,2,1,"{""ACTIVE_NOT_RECRUITING"": 1, ""COMPLETED"": 1}",NCT02465060,NCT05533788,NCT02465060|NCT05533788,,"ABSK-prefixed = Abbisko. Fexagratinib (ABSK091) is Abbisko's FGFR inhibitor, I recall development mainly for TGCT and urothelial/solid tumors; not certain of exact latest regulatory status. || Abbisko Therapeutics (Shanghai) is a legitimate Chinese biotech with FGFR/CSF1R programs (e.g. pimicotinib), but I do not have confident recall that 'fexagratinib' is specifically an Abbisko INN — flagging for verification rather than asserting high confidence despite input seed's 'high' rating."
ABSK-011,irpagratinib,ABSK-011|ABSK011,irpagratinib,Abbisko Therapeutics,Shanghai,high,web_verified,FGFR4,"oral, selective, irreversible (covalent) FGFR4 inhibitor",small molecule,,,,advanced/unresectable hepatocellular carcinoma with FGF19 overexpression (monotherapy; with atezolizumab; with ABSK043 oral PD-L1 inhibitor)|advanced solid tumors,hepatocellular carcinoma | advanced solid tumors,phase 2,phase 2,phase 2,active,retained,Roche (clinical collaboration supplying atezolizumab for combination study),"Phase 1 (NCT04906434) reported ORR of roughly 40% at 220 mg BID in FGF19-overexpressing advanced HCC (ESMO/ASCO 2024, unverified numbers); randomized double-blind phase 2 vs placebo + BSC in previously treated FGF19+ HCC (NCT07327034, n~141) started Jun 2025; combination study with ABSK043 (NCT06978933) started Apr 2025.",positioned as potential best-in-class FGFR4 inhibitor (after fisogatinib/roblitinib discontinuations),6,5,"{""RECRUITING"": 3, ""ENROLLING_BY_INVITATION"": 1, ""COMPLETED"": 1, ""NOT_YET_RECRUITING"": 1}",NCT04906434,NCT07327034,NCT04906434|NCT05441475|NCT06306872|NCT06896760|NCT06978933|NCT07327034,https://clinicaltrials.gov/study/NCT07327034|https://clinicaltrials.gov/study/NCT06978933|https://clinicaltrials.gov/study/NCT05441475,"Local CT.gov description of NCT06978933 confirms 'oral, selective FGFR4 inhibitor which can irreversibly bind to the target'. [No live web verification possible in this session (WebSearch budget exhausted, WebFetch blocked); based on local ClinicalTrials.gov/OpenTargets data plus prior knowledge - verify phase/approval details.] || This particular record is a mass-balance ([14C]) ADME study in healthy Chinese male volunteers rather than an efficacy trial."
